treatment;phage_tp;bacteria_tp;phage_tp_cat;bacteria_tp_cat;fermenter;bacteria;susceptible;resistant
H2O2;7;7;p_tp_7;b_tp_7;4;MG1655;4;20
H2O2;7;7;p_tp_7;b_tp_7;4;MG1655;5;19
H2O2;7;7;p_tp_7;b_tp_7;4;MG1655;4;20
H2O2;7;7;p_tp_7;b_tp_7;4;MG1655;7;17
H2O2;7;7;p_tp_7;b_tp_7;4;MG1655;6;18
H2O2;7;7;p_tp_7;b_tp_7;4;MG1655;6;18
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;20;4
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;19;5
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;19;5
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;19;5
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;19;5
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;19;5
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;21;3
H2O2;7;7;p_tp_7;b_tp_7;4;LF82;19;5
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;0;24
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;0;24
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;0;24
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;0;24
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;0;24
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;9;15
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;0;24
H2O2;7;7;p_tp_7;b_tp_7;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;5;19
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;4;20
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;8;16
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;5;19
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;4;20
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;3;21
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;4;20
H2O2;7;10;p_tp_7;b_tp_10;4;MG1655;5;19
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;20;4
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;19;5
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;14;10
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;1;23
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;1;23
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;20;4
H2O2;7;10;p_tp_7;b_tp_10;4;LF82;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;7;10;p_tp_7;b_tp_10;4;MEC1;0;24
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;11;13
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;11;13
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;12;12
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;13;11
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;11;13
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;14;10
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;13;11
H2O2;10;7;p_tp_10;b_tp_7;4;MG1655;12;12
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;22;2
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;22;2
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;21;3
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;21;3
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;23;1
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;22;2
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;20;4
H2O2;10;7;p_tp_10;b_tp_7;4;LF82;22;2
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;0;24
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;0;24
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;0;24
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;0;24
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;0;24
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;12;12
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;0;24
H2O2;10;7;p_tp_10;b_tp_7;4;MEC1;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;12;12
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;12;12
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;12;12
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;14;10
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;11;13
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;12;12
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;11;13
H2O2;10;10;p_tp_10;b_tp_10;4;MG1655;12;12
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;22;2
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;23;1
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;15;9
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;4;20
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;2;22
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;24;0
H2O2;10;10;p_tp_10;b_tp_10;4;LF82;2;22
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;0;24
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;1;23
H2O2;10;10;p_tp_10;b_tp_10;4;MEC1;0;16
